date,county,cases,cases_rate,cases_avg_new,cases_avg_new_rate,cases_cume,cases_cume_rate
2021-08-06T00:00:00.000,Butler,20,10.6,23.3,12.4,17964,9562.8
2021-08-05T00:00:00.000,Butler,40,21.3,22.4,11.9,17944,9552.1
2021-08-04T00:00:00.000,Butler,34,18.1,18.9,10,17904,9530.9
2021-08-03T00:00:00.000,Butler,27,14.4,16.9,9,17870,9512.8
2021-08-02T00:00:00.000,Butler,10,5.3,15.1,8.1,17843,9498.4
2021-08-01T00:00:00.000,Butler,16,8.5,15,8,17833,9493.1
2021-07-31T00:00:00.000,Butler,16,8.5,13.6,7.2,17817,9484.5
2021-07-30T00:00:00.000,Butler,14,7.5,12.3,6.5,17801,9476
2021-07-29T00:00:00.000,Butler,15,8,11.1,5.9,17787,9468.6
2021-07-28T00:00:00.000,Butler,20,10.6,9.9,5.2,17772,9460.6
2021-07-27T00:00:00.000,Butler,15,8,7.4,4,17752,9449.9
2021-07-26T00:00:00.000,Butler,9,4.8,6.4,3.4,17737,9442
2021-07-25T00:00:00.000,Butler,6,3.2,6.1,3.3,17728,9437.2
2021-07-24T00:00:00.000,Butler,7,3.7,6,3.2,17722,9434
2021-07-23T00:00:00.000,Butler,6,3.2,5.4,2.9,17715,9430.2
2021-07-22T00:00:00.000,Butler,6,3.2,6,3.2,17709,9427.1
2021-07-21T00:00:00.000,Butler,3,1.6,5.6,3,17703,9423.9
2021-07-20T00:00:00.000,Butler,8,4.3,5.9,3.1,17700,9422.3
2021-07-19T00:00:00.000,Butler,7,3.7,5.6,3,17692,9418
2021-07-18T00:00:00.000,Butler,5,2.7,5.1,2.7,17685,9414.3
2021-07-17T00:00:00.000,Butler,3,1.6,4.7,2.5,17680,9411.6
2021-07-16T00:00:00.000,Butler,10,5.3,4.7,2.5,17677,9410
2021-07-15T00:00:00.000,Butler,3,1.6,3.7,2,17667,9404.7
2021-07-14T00:00:00.000,Butler,5,2.7,3.6,1.9,17664,9403.1
2021-07-13T00:00:00.000,Butler,6,3.2,3,1.6,17659,9400.4
2021-07-12T00:00:00.000,Butler,4,2.1,2.6,1.4,17653,9397.2
2021-07-11T00:00:00.000,Butler,2,1.1,2.4,1.3,17649,9395.1
2021-07-10T00:00:00.000,Butler,3,1.6,2.9,1.5,17647,9394
2021-07-09T00:00:00.000,Butler,3,1.6,2.4,1.3,17644,9392.5
2021-07-08T00:00:00.000,Butler,2,1.1,2.1,1.1,17641,9390.9
2021-07-07T00:00:00.000,Butler,1,0.5,2.3,1.2,17639,9389.8
2021-07-06T00:00:00.000,Butler,3,1.6,2.3,1.2,17638,9389.3
2021-07-05T00:00:00.000,Butler,3,1.6,2.1,1.1,17635,9387.7
2021-07-04T00:00:00.000,Butler,5,2.7,2.3,1.2,17632,9386.1
2021-07-03T00:00:00.000,Butler,0,0,2,1.1,17627,9383.4
2021-07-02T00:00:00.000,Butler,1,0.5,2.4,1.3,17627,9383.4
2021-07-01T00:00:00.000,Butler,3,1.6,2.7,1.4,17626,9382.9
2021-06-30T00:00:00.000,Butler,1,0.5,2.4,1.3,17623,9381.3
2021-06-29T00:00:00.000,Butler,2,1.1,2.6,1.4,17622,9380.7
2021-06-28T00:00:00.000,Butler,4,2.1,2.9,1.5,17620,9379.7
2021-06-27T00:00:00.000,Butler,3,1.6,2.6,1.4,17616,9377.5
2021-06-26T00:00:00.000,Butler,3,1.6,2.1,1.1,17613,9375.9
2021-06-25T00:00:00.000,Butler,3,1.6,2.1,1.1,17610,9374.4
2021-06-24T00:00:00.000,Butler,1,0.5,2.3,1.2,17607,9372.8
2021-06-23T00:00:00.000,Butler,2,1.1,3,1.6,17606,9372.2
2021-06-22T00:00:00.000,Butler,4,2.1,3,1.6,17604,9371.2
2021-06-21T00:00:00.000,Butler,2,1.1,3,1.6,17600,9369
2021-06-20T00:00:00.000,Butler,0,0,3.6,1.9,17598,9368
2021-06-19T00:00:00.000,Butler,3,1.6,3.6,1.9,17598,9368
2021-06-18T00:00:00.000,Butler,4,2.1,3.7,2,17595,9366.4
2021-06-17T00:00:00.000,Butler,6,3.2,3.9,2.1,17591,9364.2
2021-06-16T00:00:00.000,Butler,2,1.1,3.3,1.7,17585,9361
2021-06-15T00:00:00.000,Butler,4,2.1,4.3,2.3,17583,9360
2021-06-14T00:00:00.000,Butler,6,3.2,4.6,2.4,17579,9357.8
2021-06-13T00:00:00.000,Butler,0,0,4.9,2.6,17573,9354.7
2021-06-12T00:00:00.000,Butler,4,2.1,5.7,3,17573,9354.7
2021-06-11T00:00:00.000,Butler,5,2.7,6.1,3.3,17569,9352.5
2021-06-10T00:00:00.000,Butler,2,1.1,7.7,4.1,17564,9349.9
2021-06-09T00:00:00.000,Butler,9,4.8,9.1,4.9,17562,9348.8
2021-06-08T00:00:00.000,Butler,6,3.2,8.4,4.5,17553,9344
2021-06-07T00:00:00.000,Butler,8,4.3,9.6,5.1,17547,9340.8
2021-06-06T00:00:00.000,Butler,6,3.2,10.7,5.7,17539,9336.6
2021-06-05T00:00:00.000,Butler,7,3.7,11,5.9,17533,9333.4
2021-06-04T00:00:00.000,Butler,16,8.5,11,5.9,17526,9329.6
2021-06-03T00:00:00.000,Butler,12,6.4,11,5.9,17510,9321.1
2021-06-02T00:00:00.000,Butler,4,2.1,11.3,6,17498,9314.7
2021-06-01T00:00:00.000,Butler,14,7.5,12.9,6.8,17494,9312.6
2021-05-31T00:00:00.000,Butler,16,8.5,13.7,7.3,17480,9305.1
2021-05-30T00:00:00.000,Butler,8,4.3,14.1,7.5,17464,9296.6
2021-05-29T00:00:00.000,Butler,7,3.7,14.6,7.8,17456,9292.4
2021-05-28T00:00:00.000,Butler,16,8.5,15.3,8.1,17449,9288.6
2021-05-27T00:00:00.000,Butler,14,7.5,14.7,7.8,17433,9280.1
2021-05-26T00:00:00.000,Butler,15,8,15.9,8.4,17419,9272.7
2021-05-25T00:00:00.000,Butler,20,10.6,16.9,9,17404,9264.7
2021-05-24T00:00:00.000,Butler,19,10.1,15.7,8.4,17384,9254
2021-05-23T00:00:00.000,Butler,11,5.9,18,9.6,17365,9243.9
2021-05-22T00:00:00.000,Butler,12,6.4,18.6,9.9,17354,9238.1
2021-05-21T00:00:00.000,Butler,12,6.4,17.6,9.4,17342,9231.7
2021-05-20T00:00:00.000,Butler,22,11.7,19.1,10.2,17330,9225.3
2021-05-19T00:00:00.000,Butler,22,11.7,19.6,10.4,17308,9213.6
2021-05-18T00:00:00.000,Butler,12,6.4,19.7,10.5,17286,9201.9
2021-05-17T00:00:00.000,Butler,35,18.6,21.9,11.6,17274,9195.5
2021-05-16T00:00:00.000,Butler,15,8,23.6,12.5,17239,9176.9
2021-05-15T00:00:00.000,Butler,5,2.7,23,12.2,17224,9168.9
2021-05-14T00:00:00.000,Butler,23,12.2,24.7,13.2,17219,9166.2
2021-05-13T00:00:00.000,Butler,25,13.3,28.3,15.1,17196,9154
2021-05-12T00:00:00.000,Butler,23,12.2,29.4,15.7,17171,9140.7
2021-05-11T00:00:00.000,Butler,27,14.4,30.1,16,17148,9128.4
2021-05-10T00:00:00.000,Butler,47,25,30.4,16.2,17121,9114
2021-05-09T00:00:00.000,Butler,11,5.9,29.9,15.9,17074,9089
2021-05-08T00:00:00.000,Butler,17,9,31,16.5,17063,9083.2
