patient_zip_code,partiallycovered,fullycovered,georeferenced_latitude_longitude
16001,1156,17708,"{'type': 'Point', 'coordinates': [-79.929052, 40.892587]}"
16002,424,6313,"{'type': 'Point', 'coordinates': [-79.85767, 40.820127]}"
16003,5,66,"{'type': 'Point', 'coordinates': [-79.895268, 40.858052]}"
16006,,9,
16010,,,
16011,,,
16012,,,
16013,,,
16015,,,
16016,,,"{'type': 'Point', 'coordinates': [-79.8992, 41.108299]}"
16017,,,"{'type': 'Point', 'coordinates': [-79.8992, 41.108299]}"
16020,33,390,"{'type': 'Point', 'coordinates': [-79.895612, 41.11545]}"
16021,,,"{'type': 'Point', 'coordinates': [-79.99, 41.07]}"
16022,12,181,"{'type': 'Point', 'coordinates': [-79.727668, 41.057108]}"
16023,204,1960,"{'type': 'Point', 'coordinates': [-79.754316, 40.785814]}"
16024,9,147,"{'type': 'Point', 'coordinates': [-80.036377, 40.738351]}"
16025,121,2039,"{'type': 'Point', 'coordinates': [-79.750126, 40.940757]}"
16026,,,
16027,18,171,"{'type': 'Point', 'coordinates': [-80.012269, 40.816811]}"
16028,42,668,"{'type': 'Point', 'coordinates': [-79.628167, 40.971149]}"
16029,18,251,"{'type': 'Point', 'coordinates': [-79.841579, 40.875682]}"
16030,8,99,"{'type': 'Point', 'coordinates': [-79.799383, 41.133697]}"
16031,,,
16033,208,3211,"{'type': 'Point', 'coordinates': [-80.046078, 40.794254]}"
16034,45,702,"{'type': 'Point', 'coordinates': [-79.731555, 40.860222]}"
16035,,45,"{'type': 'Point', 'coordinates': [-80.015763, 41.108929]}"
16036,,80,"{'type': 'Point', 'coordinates': [-79.654033, 41.16083]}"
16037,177,2536,"{'type': 'Point', 'coordinates': [-80.126903, 40.84573]}"
16038,94,1119,"{'type': 'Point', 'coordinates': [-79.953219, 41.165331]}"
16039,,40,"{'type': 'Point', 'coordinates': [-79.811336, 40.830526]}"
16040,22,296,"{'type': 'Point', 'coordinates': [-79.839761, 41.092746]}"
16041,38,616,"{'type': 'Point', 'coordinates': [-79.71327, 41.007736]}"
16042,,,
16044,,,
16045,29,449,"{'type': 'Point', 'coordinates': [-79.915325, 40.851301]}"
16046,804,10993,"{'type': 'Point', 'coordinates': [-80.032804, 40.697479]}"
16047,,,
16048,7,35,"{'type': 'Point', 'coordinates': [-79.811923, 41.048087]}"
16049,60,990,"{'type': 'Point', 'coordinates': [-79.668407, 41.096788]}"
16050,29,442,"{'type': 'Point', 'coordinates': [-79.769642, 41.041492]}"
16051,82,1093,"{'type': 'Point', 'coordinates': [-80.146685, 40.944902]}"
16052,57,975,"{'type': 'Point', 'coordinates': [-80.065503, 40.902844]}"
16053,116,1983,"{'type': 'Point', 'coordinates': [-79.981134, 40.812805]}"
16054,7,106,"{'type': 'Point', 'coordinates': [-79.652827, 41.161728]}"
16055,337,4321,"{'type': 'Point', 'coordinates': [-79.739731, 40.719331]}"
16056,158,2298,"{'type': 'Point', 'coordinates': [-79.837767, 40.727795]}"
16057,349,4415,"{'type': 'Point', 'coordinates': [-80.060465, 41.034248]}"
16058,,,"{'type': 'Point', 'coordinates': [-79.614704, 41.183927]}"
16059,330,5013,"{'type': 'Point', 'coordinates': [-79.935496, 40.700278]}"
16060,,,
16061,65,948,"{'type': 'Point', 'coordinates': [-79.886387, 41.005578]}"
16062,,,
16063,310,4466,"{'type': 'Point', 'coordinates': [-80.127818, 40.770786]}"
16064,,,
16065,,6,
16066,1446,19125,"{'type': 'Point', 'coordinates': [-80.109758, 40.706843]}"
