age_group,symptom_status,March,April,May,June,July,August,September,October,November,December
0 - 17 years,Symptomatic,,,,5.0,6.0,12.0,,44.0,96.0,75.0
0 - 17 years,Unknown,,,,7.0,10.0,1.0,,18.0,147.0,178.0
18 to 49 years,Symptomatic,45.0,24.0,14.0,69.0,128.0,92.0,132.0,149.0,247.0,137.0
18 to 49 years,Unknown,1.0,1.0,6.0,19.0,23.0,29.0,56.0,239.0,1017.0,1830.0
50 to 64 years,Missing,,,,,,,1.0,,,
50 to 64 years,Symptomatic,41.0,12.0,15.0,22.0,67.0,27.0,35.0,74.0,131.0,79.0
50 to 64 years,Unknown,1.0,,1.0,3.0,6.0,15.0,13.0,120.0,571.0,1021.0
65+ years,Symptomatic,23.0,12.0,,9.0,38.0,20.0,24.0,72.0,162.0,150.0
65+ years,Unknown,,1.0,,2.0,6.0,10.0,15.0,115.0,413.0,899.0
Missing,Unknown,,,,,,,,,16.0,
