postcode,positive,negative
16001,2144,11647
16002,796,3830
16003,19,92
16016,0,
16017,,
16018,0,0
16020,56,256
16021,,8
16022,25,97
16023,574,1377
16024,23,79
16025,356,1276
16027,12,101
16028,119,440
16029,36,177
16030,15,60
16033,343,1710
16034,92,411
16035,8,17
16036,9,26
16037,264,1357
16038,221,738
16039,81,86
16040,34,185
16041,102,440
16045,44,350
16046,1193,6519
16048,7,22
16049,147,612
16050,70,358
16051,125,704
16052,88,596
16053,190,1005
16054,15,72
16055,561,2564
16056,324,1385
16057,609,2988
16058,0,5
16059,542,2789
16061,106,568
16063,439,2605
16066,1870,10069
