postcode,positive,negative,Population,Cumulative Incidence
16001,2146,11663,38847.0,5524.24
16002,796,3830,15257.0,5217.28
16003,19,92,,
16018,0,0,386.0,0.0
16020,57,257,4460.0,1278.03
16022,25,97,5194.0,481.32
16023,574,1378,256.0,224218.75
16024,23,79,1615.0,1424.15
16025,357,1279,742.0,48113.21
16027,12,101,297.0,4040.4
16028,121,439,6260.0,1932.91
16029,36,176,1906.0,1888.77
16030,15,60,146.0,10273.97
16033,344,1711,164.0,209756.1
16034,92,412,4573.0,2011.81
16035,8,17,3592.0,222.72
16036,9,26,,
16037,264,1359,1023.0,25806.45
16038,222,740,2112.0,10511.36
16039,81,86,996.0,8132.53
16040,34,185,16699.0,203.61
16041,102,440,142.0,71830.99
16045,44,350,3080.0,1428.57
16046,1193,6525,1373.0,86890.02
16048,7,22,2834.0,247.0
16049,147,612,2534.0,5801.1
16050,70,358,4518.0,1549.36
16051,125,704,377.0,33156.5
16052,88,598,7996.0,1100.55
16053,190,1004,4785.0,3970.74
16054,15,73,14624.0,102.57
16055,561,2568,,
16056,324,1385,8242.0,3931.08
16057,610,2990,2556.0,23865.41
16058,0,5,7005.0,0.0
16059,542,2792,30719.0,1764.38
16061,106,568,,
16063,439,2608,,
16066,1870,10090,,
