postcode,Positive,Negative,Cumulative Incidence,Partially Covered,Partially Covered Rate,Fully Covered,Fully Covered Rate,Population
16001,2149,11676,5531.96,1156.0,2975.78,17708.0,45583.96,38847.0
16002,796,3837,5217.28,424.0,2779.05,6313.0,41377.73,15257.0
16003,19,92,,5.0,,66.0,,
16018,0,0,,,,,,
16020,57,258,4943.63,33.0,2862.1,390.0,33824.8,1153.0
16022,25,97,6476.68,12.0,3108.81,181.0,46891.19,386.0
16023,574,1381,12869.96,204.0,4573.99,1960.0,43946.19,4460.0
16024,23,79,9913.79,9.0,3879.31,147.0,63362.07,232.0
16025,358,1281,6892.57,121.0,2329.61,2039.0,39256.83,5194.0
16027,12,102,4687.5,18.0,7031.25,171.0,66796.88,256.0
16028,122,438,7554.18,42.0,2600.62,668.0,41362.23,1615.0
16029,36,176,4851.75,18.0,2425.88,251.0,33827.49,742.0
16030,15,60,5050.51,8.0,2693.6,99.0,33333.33,297.0
16033,344,1711,5495.21,208.0,3322.68,3211.0,51293.93,6260.0
16034,93,414,4879.33,45.0,2360.97,702.0,36831.06,1906.0
16035,8,17,5479.45,,,,,146.0
16036,9,26,5487.8,,,,,164.0
16037,264,1360,5773.02,177.0,3870.54,2536.0,55455.94,4573.0
16038,222,740,6180.4,94.0,2616.93,1119.0,31152.56,3592.0
16039,81,86,,,,,,
16040,34,186,3323.56,22.0,2150.54,296.0,28934.51,1023.0
16041,102,441,4829.55,38.0,1799.24,616.0,29166.67,2112.0
16045,45,351,4518.07,29.0,2911.65,449.0,45080.32,996.0
16046,1194,6538,7150.13,804.0,4814.66,10993.0,65830.29,16699.0
16048,7,22,4929.58,7.0,4929.58,35.0,24647.89,142.0
16049,148,612,4805.19,60.0,1948.05,990.0,32142.86,3080.0
16050,70,359,5098.32,29.0,2112.16,442.0,32192.28,1373.0
16051,125,705,4410.73,82.0,2893.44,1093.0,38567.4,2834.0
16052,88,601,3472.77,57.0,2249.41,975.0,38476.72,2534.0
16053,191,1006,4227.53,116.0,2567.51,1983.0,43891.1,4518.0
16054,15,73,3978.78,7.0,1856.76,106.0,28116.71,377.0
16055,561,2575,7016.01,337.0,4214.61,4321.0,54039.52,7996.0
16056,324,1385,6771.16,158.0,3301.99,2298.0,48025.08,4785.0
16057,613,2993,4191.74,349.0,2386.49,4415.0,30190.1,14624.0
16058,0,5,,,,,,
16059,543,2796,6588.21,330.0,4003.88,5013.0,60822.62,8242.0
16061,107,570,4186.23,65.0,2543.04,948.0,37089.2,2556.0
16063,439,2612,6266.95,310.0,4425.41,4466.0,63754.46,7005.0
16066,1872,10111,6093.95,1446.0,4707.18,19125.0,62257.89,30719.0
