postcode,positive,negative
16001,2146,11663
16002,796,3830
16003,19,92
16016,0,
16017,,
16018,0,0
16020,57,257
16021,,8
16022,25,97
16023,574,1378
16024,23,79
16025,357,1279
16027,12,101
16028,121,439
16029,36,176
16030,15,60
16033,344,1711
16034,92,412
16035,8,17
16036,9,26
16037,264,1359
16038,222,740
16039,81,86
16040,34,185
16041,102,440
16045,44,350
16046,1193,6525
16048,7,22
16049,147,612
16050,70,358
16051,125,704
16052,88,598
16053,190,1004
16054,15,73
16055,561,2568
16056,324,1385
16057,610,2990
16058,0,5
16059,542,2792
16061,106,568
16063,439,2608
16066,1870,10090
