,Postcode,Positive,Negative,Cumulative Incidence,Partially Vaxxed,Partially Vaxxed Rate,Fully Vaxxed,Fully Vaxxed Rate,Population,Total Tests,Positivity Percentage,New Positives Today,New Positives per 100k,New Negatives,New Tests,Positive Test Rate Today,Weekly Positives,Average Weekly Positives,Weekly Positive Average per 100k,Weekly Negatives,Weekly Tests,Weekly Positive Test Rate,Ten-Day Positives,Ten-Day Positives per 100k,Ten-day Negatives,Ten-day Tests,Ten-Day Poisitive Test Rate
0,16001,2241,11868,5768.79,1397.0,3596.16,17964.0,46242.95,38847.0,14109,15.88,19,48.91,26,45,42.22,50,7.14,18.39,85,135,37.04,82,211.08,165,247,33.2
1,16002,836,3899,5479.45,461.0,3021.56,6421.0,42085.6,15257.0,4735,17.66,12,78.65,2,14,85.71,30,4.29,28.09,33,63,47.62,36,235.96,52,88,40.91
2,16003,19,95,,6.0,,68.0,,,114,16.67,0,,1,1,0.0,0,0.0,,1,1,0.0,0,,2,2,0.0
3,16018,0,0,,,,,,,0,,0,,0,0,,0,0.0,,0,0,,0,,0,0,
4,16020,61,262,5290.55,37.0,3209.02,396.0,34345.19,1153.0,323,18.89,1,86.73,1,2,50.0,3,0.43,37.17,0,3,100.0,3,260.19,2,5,60.0
5,16022,30,97,7772.02,12.0,3108.81,187.0,48445.6,386.0,127,23.62,1,259.07,1,2,50.0,3,0.43,111.03,1,4,75.0,3,777.2,1,4,75.0
6,16023,579,1408,12982.06,215.0,4820.63,1983.0,44461.88,4460.0,1987,29.14,0,0.0,3,3,0.0,3,0.43,9.61,19,22,13.64,6,134.53,21,27,22.22
7,16024,23,79,9913.79,14.0,6034.48,148.0,63793.1,232.0,102,22.55,0,0.0,0,0,,0,0.0,0.0,0,0,,0,0.0,0,0,
8,16025,363,1298,6988.83,154.0,2964.96,2066.0,39776.67,5194.0,1661,21.85,1,19.25,0,1,100.0,3,0.43,8.25,7,10,30.0,5,96.26,11,16,31.25
9,16027,12,104,4687.5,21.0,8203.12,176.0,68750.0,256.0,116,10.34,0,0.0,0,0,,0,0.0,0.0,1,1,0.0,0,0.0,1,1,0.0
10,16028,124,443,7678.02,51.0,3157.89,696.0,43095.98,1615.0,567,21.87,1,61.92,0,1,100.0,2,0.29,17.69,1,3,66.67,2,123.84,5,7,28.57
11,16029,37,183,4986.52,20.0,2695.42,254.0,34231.81,742.0,220,16.82,0,0.0,0,0,,1,0.14,19.25,4,5,20.0,1,134.77,5,6,16.67
12,16030,15,60,5050.51,8.0,2693.6,102.0,34343.43,297.0,75,20.0,0,0.0,0,0,,0,0.0,0.0,0,0,,0,0.0,0,0,
13,16033,353,1738,5638.98,242.0,3865.81,3254.0,51980.83,6260.0,2091,16.88,2,31.95,1,3,66.67,8,1.14,18.26,17,25,32.0,8,127.8,24,32,25.0
14,16034,95,422,4984.26,59.0,3095.49,717.0,37618.05,1906.0,517,18.38,1,52.47,0,1,100.0,2,0.29,14.99,4,6,33.33,2,104.93,8,10,20.0
15,16035,8,17,5479.45,,,,,146.0,25,32.0,0,0.0,0,0,,0,0.0,0.0,0,0,,0,0.0,0,0,
16,16036,10,25,6097.56,,,,,164.0,35,28.57,1,609.76,-1,0,inf,1,0.14,87.11,-1,0,inf,1,609.76,-1,0,inf
17,16037,272,1400,5947.96,216.0,4723.38,2575.0,56308.77,4573.0,1672,16.27,0,0.0,5,5,0.0,3,0.43,9.37,25,28,10.71,8,174.94,32,40,20.0
18,16038,225,759,6263.92,110.0,3062.36,1141.0,31765.03,3592.0,984,22.87,1,27.84,3,4,25.0,3,0.43,11.93,12,15,20.0,3,83.52,17,20,15.0
19,16039,81,95,,,,,,,176,46.02,0,,0,0,,0,0.0,,5,5,0.0,0,,9,9,0.0
20,16040,37,188,3616.81,27.0,2639.3,302.0,29521.02,1023.0,225,16.44,1,97.75,1,2,50.0,3,0.43,41.89,1,4,75.0,3,293.26,2,5,60.0
21,16041,103,449,4876.89,53.0,2509.47,624.0,29545.45,2112.0,552,18.66,0,0.0,0,0,,1,0.14,6.76,6,7,14.29,1,47.35,6,7,14.29
22,16045,48,356,4819.28,37.0,3714.86,456.0,45783.13,996.0,404,11.88,0,0.0,0,0,,3,0.43,43.03,3,6,50.0,3,301.2,3,6,50.0
23,16046,1230,6725,7365.71,857.0,5132.04,11186.0,66986.05,16699.0,7955,15.46,10,59.88,28,38,26.32,23,3.29,19.68,89,112,20.54,30,179.65,162,192,15.62
24,16048,7,22,4929.58,5.0,3521.13,38.0,26760.56,142.0,29,24.14,0,0.0,0,0,,0,0.0,0.0,0,0,,0,0.0,0,0,
25,16049,155,622,5032.47,68.0,2207.79,1007.0,32694.81,3080.0,777,19.95,0,0.0,2,2,0.0,6,0.86,27.83,2,8,75.0,6,194.81,6,12,50.0
26,16050,74,363,5389.66,29.0,2112.16,451.0,32847.78,1373.0,437,16.93,1,72.83,2,3,33.33,1,0.14,10.4,3,4,25.0,3,218.5,4,7,42.86
27,16051,131,715,4622.44,93.0,3281.58,1108.0,39096.68,2834.0,846,15.48,1,35.29,3,4,25.0,3,0.43,15.12,8,11,27.27,6,211.71,7,13,46.15
28,16052,94,610,3709.55,85.0,3354.38,984.0,38831.89,2534.0,704,13.35,1,39.46,0,1,100.0,3,0.43,16.91,4,7,42.86,5,197.32,8,13,38.46
29,16053,196,1027,4338.2,127.0,2810.98,2013.0,44555.11,4518.0,1223,16.03,2,44.27,2,4,50.0,4,0.57,12.65,14,18,22.22,5,110.67,19,24,20.83
30,16054,15,75,3978.78,8.0,2122.02,111.0,29442.97,377.0,90,16.67,0,0.0,0,0,,0,0.0,0.0,0,0,,0,0.0,1,1,0.0
31,16055,575,2623,7191.1,352.0,4402.2,4398.0,55002.5,7996.0,3198,17.98,5,62.53,8,13,38.46,10,1.43,17.87,24,34,29.41,13,162.58,46,59,22.03
32,16056,339,1402,7084.64,163.0,3406.48,2337.0,48840.13,4785.0,1741,19.47,3,62.7,10,13,23.08,11,1.57,32.84,13,24,45.83,15,313.48,17,32,46.88
33,16057,636,3125,4349.02,377.0,2577.95,4475.0,30600.38,14624.0,3761,16.91,1,6.84,7,8,12.5,7,1.0,6.84,110,117,5.98,14,95.73,116,130,10.77
34,16058,0,5,,,,,,,5,0.0,0,,0,0,,0,0.0,,0,0,,0,,0,0,
35,16059,552,2864,6697.4,335.0,4064.55,5092.0,61781.12,8242.0,3416,16.16,1,12.13,11,12,8.33,5,0.71,8.67,44,49,10.2,9,109.2,63,72,12.5
36,16061,109,580,4264.48,74.0,2895.15,961.0,37597.81,2556.0,689,15.82,0,0.0,3,3,0.0,2,0.29,11.18,7,9,22.22,2,78.25,8,10,20.0
37,16063,450,2661,6423.98,347.0,4953.6,4518.0,64496.79,7005.0,3111,14.46,0,0.0,6,6,0.0,4,0.57,8.16,25,29,13.79,8,114.2,42,50,16.0
38,16066,1931,10342,6286.01,1507.0,4905.76,19460.0,63348.42,30719.0,12273,15.73,12,39.06,48,60,20.0,32,4.57,14.88,143,175,18.29,51,166.02,212,263,19.39
