,Postcode,Positive,Negative,Cumulative Incidence,Partially Vaxxed,Partially Vaxxed Rate,Fully Vaxxed,Fully Vaxxed Rate,Population,Positivity Percentage,New Positives Today,New Positives per 100k,Positive Test Rate Today,Weekly Positives,Average Weekly Positives,Weekly Positive Average per 100k,Weekly Positive Test Rate,Ten-Day Positives,Ten-Day Positives per 100k,Ten-Day Poisitive Test Rate
0,16001,2212,11823,5694.13,1288.0,3315.57,17824.0,45882.56,38847.0,0.15760598503740647,4,10.3,25.0,53,7.57,19.49,30.64,66.0,169.9,29.2
1,16002,823,3885,5394.25,455.0,2982.24,6354.0,41646.46,15257.0,0.1748088360237893,6,39.33,40.0,23,3.29,21.54,37.7,27.0,176.97,32.93
2,16003,19,94,,7.0,,67.0,,,0.168141592920354,0,,,0,0.0,,0.0,0.0,,0.0
3,16018,0,0,,,,,,,,0,,,0,0.0,,,0.0,,
4,16020,59,262,5117.09,38.0,3295.75,392.0,33998.27,1153.0,0.1838006230529595,0,0.0,,1,0.14,12.39,33.33,2.0,173.46,28.57
5,16022,29,95,7512.95,10.0,2590.67,186.0,48186.53,386.0,0.23387096774193547,0,0.0,,2,0.29,74.02,200.0,4.0,1036.27,200.0
6,16023,579,1403,12982.06,211.0,4730.94,1970.0,44170.4,4460.0,0.2921291624621594,0,0.0,0.0,6,0.86,19.22,27.27,5.0,112.11,16.67
7,16024,23,79,9913.79,12.0,5172.41,147.0,63362.07,232.0,0.22549019607843138,0,0.0,,0,0.0,0.0,,0.0,0.0,
8,16025,362,1297,6969.58,144.0,2772.43,2052.0,39507.12,5194.0,0.21820373719107897,0,0.0,0.0,4,0.57,11.0,28.57,5.0,96.26,21.74
9,16027,12,103,4687.5,20.0,7812.5,172.0,67187.5,256.0,0.10434782608695652,0,0.0,,0,0.0,0.0,,0.0,0.0,0.0
10,16028,123,442,7616.1,48.0,2972.14,687.0,42538.7,1615.0,0.2176991150442478,1,61.92,100.0,1,0.14,8.85,20.0,2.0,123.84,40.0
11,16029,36,183,4851.75,21.0,2830.19,252.0,33962.26,742.0,0.1643835616438356,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
12,16030,15,60,5050.51,6.0,2020.2,101.0,34006.73,297.0,0.2,0,0.0,,0,0.0,0.0,,0.0,0.0,
13,16033,347,1738,5543.13,232.0,3706.07,3227.0,51549.52,6260.0,0.16642685851318945,1,15.97,16.67,2,0.29,4.56,7.69,3.0,47.92,10.0
14,16034,94,423,4931.79,58.0,3043.02,707.0,37093.39,1906.0,0.18181818181818182,0,0.0,0.0,1,0.14,7.5,10.0,2.0,104.93,15.38
15,16035,8,17,5479.45,,,,,146.0,0.32,0,0.0,,0,0.0,0.0,,0.0,0.0,
16,16036,9,26,5487.8,,,,,164.0,0.2571428571428571,0,0.0,,0,0.0,0.0,,0.0,0.0,
17,16037,272,1392,5947.96,202.0,4417.23,2555.0,55871.42,4573.0,0.16346153846153846,1,21.87,16.67,8,1.14,24.99,25.0,8.0,174.94,19.51
18,16038,224,756,6236.08,102.0,2839.64,1127.0,31375.28,3592.0,0.22857142857142856,1,27.84,25.0,2,0.29,7.95,12.5,2.0,55.68,11.11
19,16039,81,91,,,,,,,0.47093023255813954,0,,0.0,0,0.0,,0.0,0.0,,0.0
20,16040,34,187,3323.56,25.0,2443.79,298.0,29130.01,1023.0,0.15384615384615385,0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0
21,16041,103,448,4876.89,45.0,2130.68,618.0,29261.36,2112.0,0.1869328493647913,1,47.35,100.0,1,0.14,6.76,16.67,1.0,47.35,11.11
22,16045,48,354,4819.28,33.0,3313.25,452.0,45381.53,996.0,0.11940298507462686,0,0.0,0.0,3,0.43,43.03,75.0,4.0,401.61,50.0
23,16046,1219,6695,7299.84,854.0,5114.08,11088.0,66399.19,16699.0,0.15403083143795804,3,17.97,15.0,19,2.71,16.25,12.58,26.0,155.7,13.27
