date,county,partiallycovered,fullycovered
2021-08-20T00:00:00.000,Butler,84,160
2021-08-19T00:00:00.000,Butler,127,157
2021-08-18T00:00:00.000,Butler,185,236
2021-08-17T00:00:00.000,Butler,146,133
2021-08-16T00:00:00.000,Butler,116,145
2021-08-15T00:00:00.000,Butler,96,84
2021-08-14T00:00:00.000,Butler,101,83
2021-08-13T00:00:00.000,Butler,159,151
2021-08-12T00:00:00.000,Butler,102,89
2021-08-11T00:00:00.000,Butler,202,125
2021-08-10T00:00:00.000,Butler,119,93
2021-08-09T00:00:00.000,Butler,141,101
2021-08-08T00:00:00.000,Butler,57,38
2021-08-07T00:00:00.000,Butler,111,60
2021-08-06T00:00:00.000,Butler,245,130
2021-08-05T00:00:00.000,Butler,115,84
2021-08-04T00:00:00.000,Butler,192,109
2021-08-03T00:00:00.000,Butler,167,96
2021-08-02T00:00:00.000,Butler,155,76
2021-08-01T00:00:00.000,Butler,53,24
2021-07-31T00:00:00.000,Butler,107,59
2021-07-30T00:00:00.000,Butler,160,100
2021-07-29T00:00:00.000,Butler,122,65
2021-07-28T00:00:00.000,Butler,133,116
2021-07-27T00:00:00.000,Butler,117,78
2021-07-26T00:00:00.000,Butler,164,86
2021-07-25T00:00:00.000,Butler,46,26
2021-07-24T00:00:00.000,Butler,71,50
2021-07-23T00:00:00.000,Butler,166,79
2021-07-22T00:00:00.000,Butler,94,82
2021-07-21T00:00:00.000,Butler,124,105
2021-07-20T00:00:00.000,Butler,112,87
2021-07-19T00:00:00.000,Butler,112,86
2021-07-18T00:00:00.000,Butler,28,30
2021-07-17T00:00:00.000,Butler,56,42
2021-07-16T00:00:00.000,Butler,115,107
2021-07-15T00:00:00.000,Butler,70,70
2021-07-14T00:00:00.000,Butler,85,117
2021-07-13T00:00:00.000,Butler,80,97
2021-07-12T00:00:00.000,Butler,66,88
2021-07-11T00:00:00.000,Butler,16,34
2021-07-10T00:00:00.000,Butler,57,60
2021-07-09T00:00:00.000,Butler,97,146
2021-07-08T00:00:00.000,Butler,58,98
2021-07-07T00:00:00.000,Butler,89,149
2021-07-06T00:00:00.000,Butler,73,118
2021-07-05T00:00:00.000,Butler,45,84
2021-07-04T00:00:00.000,Butler,6,11
2021-07-03T00:00:00.000,Butler,30,54
2021-07-02T00:00:00.000,Butler,66,155
2021-07-01T00:00:00.000,Butler,67,111
2021-06-30T00:00:00.000,Butler,107,177
2021-06-29T00:00:00.000,Butler,52,131
2021-06-28T00:00:00.000,Butler,84,158
2021-06-27T00:00:00.000,Butler,18,36
2021-06-26T00:00:00.000,Butler,47,65
2021-06-25T00:00:00.000,Butler,103,226
2021-06-24T00:00:00.000,Butler,75,135
2021-06-23T00:00:00.000,Butler,101,320
2021-06-22T00:00:00.000,Butler,86,170
2021-06-21T00:00:00.000,Butler,93,124
2021-06-20T00:00:00.000,Butler,24,55
2021-06-19T00:00:00.000,Butler,82,149
2021-06-18T00:00:00.000,Butler,127,272
2021-06-17T00:00:00.000,Butler,92,170
2021-06-16T00:00:00.000,Butler,144,370
2021-06-15T00:00:00.000,Butler,82,241
2021-06-14T00:00:00.000,Butler,108,373
2021-06-13T00:00:00.000,Butler,15,65
2021-06-12T00:00:00.000,Butler,47,410
2021-06-11T00:00:00.000,Butler,151,538
2021-06-10T00:00:00.000,Butler,114,393
2021-06-09T00:00:00.000,Butler,157,391
2021-06-08T00:00:00.000,Butler,137,347
2021-06-07T00:00:00.000,Butler,178,450
2021-06-06T00:00:00.000,Butler,33,61
2021-06-05T00:00:00.000,Butler,73,254
2021-06-04T00:00:00.000,Butler,209,599
2021-06-03T00:00:00.000,Butler,134,276
2021-06-02T00:00:00.000,Butler,304,555
2021-06-01T00:00:00.000,Butler,124,231
2021-05-31T00:00:00.000,Butler,12,22
2021-05-30T00:00:00.000,Butler,37,43
2021-05-29T00:00:00.000,Butler,101,133
2021-05-28T00:00:00.000,Butler,229,331
2021-05-27T00:00:00.000,Butler,205,377
2021-05-26T00:00:00.000,Butler,220,301
2021-05-25T00:00:00.000,Butler,330,487
2021-05-24T00:00:00.000,Butler,252,285
2021-05-23T00:00:00.000,Butler,71,23
2021-05-22T00:00:00.000,Butler,409,250
2021-05-21T00:00:00.000,Butler,431,620
2021-05-20T00:00:00.000,Butler,406,755
2021-05-19T00:00:00.000,Butler,409,646
2021-05-18T00:00:00.000,Butler,369,873
2021-05-17T00:00:00.000,Butler,491,396
2021-05-16T00:00:00.000,Butler,76,116
2021-05-15T00:00:00.000,Butler,298,271
2021-05-14T00:00:00.000,Butler,647,1084
2021-05-13T00:00:00.000,Butler,454,801
2021-05-12T00:00:00.000,Butler,286,1055
2021-05-11T00:00:00.000,Butler,243,1735
2021-05-10T00:00:00.000,Butler,127,1375
2021-05-09T00:00:00.000,Butler,12,42
2021-05-08T00:00:00.000,Butler,130,249
2021-05-07T00:00:00.000,Butler,262,1099
2021-05-06T00:00:00.000,Butler,304,1035
