postcode,Positive,Negative,Cumulative Incidence,Partially Covered,Partially Covered Rate,Fully Covered,Fully Covered Rate,Population
16001,2249,11882,5789.38,1397.0,3596.16,17964.0,46242.95,38847.0
16002,838,3909,5492.56,461.0,3021.56,6421.0,42085.6,15257.0
16003,19,95,,6.0,,68.0,,
16018,0,0,,,,,,
16020,61,264,5290.55,37.0,3209.02,396.0,34345.19,1153.0
16022,30,96,7772.02,12.0,3108.81,187.0,48445.6,386.0
16023,580,1415,13004.48,215.0,4820.63,1983.0,44461.88,4460.0
16024,23,79,9913.79,14.0,6034.48,148.0,63793.1,232.0
16025,363,1300,6988.83,154.0,2964.96,2066.0,39776.67,5194.0
16027,12,103,4687.5,21.0,8203.12,176.0,68750.0,256.0
16028,124,445,7678.02,51.0,3157.89,696.0,43095.98,1615.0
16029,37,183,4986.52,20.0,2695.42,254.0,34231.81,742.0
16030,15,60,5050.51,8.0,2693.6,102.0,34343.43,297.0
16033,353,1745,5638.98,242.0,3865.81,3254.0,51980.83,6260.0
16034,96,422,5036.73,59.0,3095.49,717.0,37618.05,1906.0
16035,8,17,5479.45,,,,,146.0
16036,10,25,6097.56,,,,,164.0
16037,272,1402,5947.96,216.0,4723.38,2575.0,56308.77,4573.0
16038,225,759,6263.92,110.0,3062.36,1141.0,31765.03,3592.0
16039,81,95,,,,,,
16040,37,188,3616.81,27.0,2639.3,302.0,29521.02,1023.0
16041,103,449,4876.89,53.0,2509.47,624.0,29545.45,2112.0
16045,48,357,4819.28,37.0,3714.86,456.0,45783.13,996.0
16046,1231,6733,7371.7,857.0,5132.04,11186.0,66986.05,16699.0
16048,7,22,4929.58,5.0,3521.13,38.0,26760.56,142.0
16049,155,622,5032.47,68.0,2207.79,1007.0,32694.81,3080.0
16050,74,362,5389.66,29.0,2112.16,451.0,32847.78,1373.0
16051,132,716,4657.73,93.0,3281.58,1108.0,39096.68,2834.0
16052,95,611,3749.01,85.0,3354.38,984.0,38831.89,2534.0
16053,196,1029,4338.2,127.0,2810.98,2013.0,44555.11,4518.0
16054,15,75,3978.78,8.0,2122.02,111.0,29442.97,377.0
16055,575,2630,7191.1,352.0,4402.2,4398.0,55002.5,7996.0
16056,339,1404,7084.64,163.0,3406.48,2337.0,48840.13,4785.0
16057,641,3321,4383.21,377.0,2577.95,4475.0,30600.38,14624.0
16058,0,5,,,,,,
16059,554,2868,6721.67,335.0,4064.55,5092.0,61781.12,8242.0
16061,112,579,4381.85,74.0,2895.15,961.0,37597.81,2556.0
16063,452,2668,6452.53,347.0,4953.6,4518.0,64496.79,7005.0
16066,1938,10365,6308.8,1507.0,4905.76,19460.0,63348.42,30719.0
